fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
2071.48064845	3571.48064845	3621.48064845	4471.48064845	left	left	1	900	F	E	0	540.717892422
6012.19854087	7512.19854087	7562.19854087	7612.19854087	right	right	1	100	F	F	1	540.196351231
9152.3948921	10652.3948921	10702.3948921	11552.3948921	right	right	1	900	F	F	1	531.874187671
13084.2690798	14584.2690798	14634.2690798	15484.2690798	left	left	1	900	E	F	0	592.96247185
17077.2315516	18577.2315516	18627.2315516	19477.2315516	right	left	0	900	E	E	1	413.440307909
20890.6718595	22390.6718595	22440.6718595	22490.6718595	right	right	1	100	F	F	1	428.200700679
23918.8725602	25418.8725602	25468.8725602	26318.8725602	left	right	0	900	E	E	1	627.019976702
27945.8925369	29445.8925369	29495.8925369	29545.8925369	right	right	1	100	E	E	1	501.264840312
31047.1573772	32547.1573772	32597.1573772	32647.1573772	right	left	0	100	E	E	1	602.45128887
34249.6086661	35749.6086661	35799.6086661	36649.6086661	right	right	1	900	F	F	1	592.191921297
38241.8005874	39741.8005874	39791.8005874	40641.8005874	right	left	0	900	F	F	1	514.304999082
42156.1055865	43656.1055865	43706.1055865	43756.1055865	left	left	1	100	E	E	1	436.721664281
45192.8272508	46692.8272508	46742.8272508	47592.8272508	left	left	1	900	E	F	0	654.749631036
49247.5768818	50747.5768818	50797.5768818	51647.5768818	right	right	1	900	F	E	0	559.419939365
53206.9968212	54706.9968212	54756.9968212	54806.9968212	left	right	0	100	F	F	1	506.00839596
56313.0052171	57813.0052171	57863.0052171	57913.0052171	left	left	1	100	F	E	0	515.53877325
59428.5439904	60928.5439904	60978.5439904	61828.5439904	right	left	0	900	F	E	0	434.773048267
63263.3170386	64763.3170386	64813.3170386	64863.3170386	right	right	1	100	E	F	0	442.291418278
66305.6084569	67805.6084569	67855.6084569	68705.6084569	right	right	1	900	F	E	0	425.99787949
70131.6063364	71631.6063364	71681.6063364	71731.6063364	left	left	1	100	F	E	0	553.347899064
73284.9542355	74784.9542355	74834.9542355	75684.9542355	right	left	0	900	F	F	1	528.8026836
77213.7569191	78713.7569191	78763.7569191	79613.7569191	left	left	1	900	E	E	1	586.055260372
81199.8121794	82699.8121794	82749.8121794	82799.8121794	left	right	0	100	F	F	1	532.391784351
84332.2039638	85832.2039638	85882.2039638	85932.2039638	left	right	0	100	F	F	1	460.216403643
87392.4203674	88892.4203674	88942.4203674	88992.4203674	left	left	1	100	E	E	1	547.176527278
90539.5968947	92039.5968947	92089.5968947	92939.5968947	left	left	1	900	F	F	1	440.606110179
94380.2030049	95880.2030049	95930.2030049	95980.2030049	left	right	0	100	E	E	1	572.805684798
97553.0086897	99053.0086897	99103.0086897	99153.0086897	left	left	1	100	F	F	1	518.396612501
100671.405302	102171.405302	102221.405302	102271.405302	left	right	0	100	F	E	0	674.174630723
103945.579933	105445.579933	105495.579933	105545.579933	right	right	1	100	F	F	1	413.437037473
106959.01697	108459.01697	108509.01697	109359.01697	right	left	0	900	E	E	1	516.693710855
110875.710681	112375.710681	112425.710681	113275.710681	left	left	1	900	F	E	0	577.038315886
114852.748997	116352.748997	116402.748997	117252.748997	left	right	0	900	E	F	0	485.430531289
118738.179528	120238.179528	120288.179528	120338.179528	right	right	1	100	E	E	1	467.034158103
121805.213687	123305.213687	123355.213687	124205.213687	left	left	1	900	E	E	1	531.428621146
125736.642308	127236.642308	127286.642308	127336.642308	left	left	1	100	E	E	1	496.015931281
128832.658239	130332.658239	130382.658239	130432.658239	left	left	1	100	F	F	1	421.715848869
131854.374088	133354.374088	133404.374088	133454.374088	left	right	0	100	F	F	1	537.798042907
134992.172131	136492.172131	136542.172131	137392.172131	right	right	1	900	E	E	1	463.056963177
138855.229094	140355.229094	140405.229094	140455.229094	right	right	1	100	E	E	1	510.559715822
141965.78881	143465.78881	143515.78881	143565.78881	right	left	0	100	F	F	1	615.557561264
145181.346371	146681.346371	146731.346371	147581.346371	left	right	0	900	F	F	1	537.270824958
149118.617196	150618.617196	150668.617196	151518.617196	left	right	0	900	E	E	1	331.570909654
152850.188106	154350.188106	154400.188106	155250.188106	left	left	1	900	E	E	1	522.152282464
156772.340388	158272.340388	158322.340388	159172.340388	right	right	1	900	E	F	0	404.321816673
160576.662205	162076.662205	162126.662205	162976.662205	left	right	0	900	E	E	1	542.85429286
164519.516498	166019.516498	166069.516498	166919.516498	right	right	1	900	E	E	1	522.39314686
168441.909644	169941.909644	169991.909644	170841.909644	right	left	0	900	F	F	1	540.201320446
172382.110965	173882.110965	173932.110965	173982.110965	left	right	0	100	F	F	1	523.175135092
175505.2861	177005.2861	177055.2861	177105.2861	right	right	1	100	E	F	0	464.904713564
178570.190814	180070.190814	180120.190814	180170.190814	left	left	1	100	E	E	1	493.72857377
181663.919387	183163.919387	183213.919387	184063.919387	right	right	1	900	F	F	1	568.206305499
185632.125693	187132.125693	187182.125693	188032.125693	left	left	1	900	F	E	0	449.797190835
189481.922884	190981.922884	191031.922884	191081.922884	right	left	0	100	E	E	1	539.803624956
192621.726509	194121.726509	194171.726509	195021.726509	right	right	1	900	F	E	0	430.75875461
196452.485263	197952.485263	198002.485263	198852.485263	left	left	1	900	E	E	1	436.817137529
200289.302401	201789.302401	201839.302401	202689.302401	left	left	1	900	E	F	0	375.206236284
204064.508637	205564.508637	205614.508637	205664.508637	right	left	0	100	E	E	1	559.525970454
207224.034607	208724.034607	208774.034607	208824.034607	left	left	1	100	E	F	0	482.759480504
210306.794088	211806.794088	211856.794088	212706.794088	right	right	1	900	E	E	1	589.587424986
214296.381513	215796.381513	215846.381513	216696.381513	left	left	1	900	F	F	1	475.800999632
218172.182513	219672.182513	219722.182513	219772.182513	right	left	0	100	E	E	1	507.058153558
221279.240666	222779.240666	222829.240666	223679.240666	right	right	1	900	F	E	0	363.415368304
225042.656034	226542.656034	226592.656034	227442.656034	right	right	1	900	F	E	0	610.04472224
229052.700757	230552.700757	230602.700757	231452.700757	left	right	0	900	F	F	1	464.128576742
232916.829333	234416.829333	234466.829333	235316.829333	right	right	1	900	F	F	1	595.435444308
236912.264778	238412.264778	238462.264778	239312.264778	left	right	0	900	F	F	1	567.34372716
240879.608505	242379.608505	242429.608505	243279.608505	left	right	0	900	E	E	1	580.990709471
244860.599214	246360.599214	246410.599214	246460.599214	right	left	0	100	E	F	0	650.364567887
248110.963782	249610.963782	249660.963782	250510.963782	right	right	1	900	E	E	1	444.333645338
251955.297428	253455.297428	253505.297428	253555.297428	left	right	0	100	F	F	1	514.986675884
255070.284104	256570.284104	256620.284104	257470.284104	right	left	0	900	F	F	1	404.359127922
