fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
2713.81138663	4213.81138663	4263.81138663	5113.81138663	right	right	1	900	E	F	0	569.98345291
6683.79483954	8183.79483954	8233.79483954	8283.79483954	right	right	1	100	E	E	1	547.519201946
9831.31404149	11331.3140415	11381.3140415	12231.3140415	left	left	1	900	E	F	0	779.278771102
14010.5928126	15510.5928126	15560.5928126	15610.5928126	left	left	1	100	F	F	1	553.202526514
17163.7953391	18663.7953391	18713.7953391	19563.7953391	left	left	1	900	F	F	1	642.743720601
21206.5390597	22706.5390597	22756.5390597	23606.5390597	left	left	1	900	F	F	1	502.661821054
25109.2008808	26609.2008808	26659.2008808	27509.2008808	left	left	1	900	F	E	0	732.401113538
29241.6019943	30741.6019943	30791.6019943	31641.6019943	left	right	0	900	F	F	1	556.988525654
33198.5905199	34698.5905199	34748.5905199	35598.5905199	right	right	1	900	E	E	1	480.855145561
37079.4456655	38579.4456655	38629.4456655	39479.4456655	right	left	0	900	F	F	1	465.392969564
40944.8386351	42444.8386351	42494.8386351	43344.8386351	left	right	0	900	F	F	1	566.988611685
44911.8272468	46411.8272468	46461.8272468	47311.8272468	right	right	1	900	F	F	1	705.170317187
49016.9975639	50516.9975639	50566.9975639	50616.9975639	right	right	1	100	F	F	1	505.432652703
52122.4302166	53622.4302166	53672.4302166	53722.4302166	left	right	0	100	E	E	1	528.84905153
55251.2792682	56751.2792682	56801.2792682	56851.2792682	left	left	1	100	E	E	1	502.672093742
58353.9513619	59853.9513619	59903.9513619	60753.9513619	left	right	0	900	E	E	1	563.740737424
62317.6920993	63817.6920993	63867.6920993	64717.6920993	right	left	0	900	E	E	1	449.405117393
66167.0972167	67667.0972167	67717.0972167	68567.0972167	right	left	0	900	E	E	1	504.145605704
70071.2428224	71571.2428224	71621.2428224	71671.2428224	right	left	0	100	E	E	1	609.344437993
73280.5872604	74780.5872604	74830.5872604	75680.5872604	right	right	1	900	F	E	0	511.882062774
77192.4693232	78692.4693232	78742.4693232	79592.4693232	left	right	0	900	F	F	1	504.483334202
81096.9526574	82596.9526574	82646.9526574	82696.9526574	right	left	0	100	E	E	1	572.812786155
84269.7654436	85769.7654436	85819.7654436	85869.7654436	right	right	1	100	F	F	1	480.112852837
87349.8782964	88849.8782964	88899.8782964	88949.8782964	right	left	0	100	F	F	1	612.341246221
90562.2195426	92062.2195426	92112.2195426	92162.2195426	left	right	0	100	E	F	0	628.438508881
93790.6580515	95290.6580515	95340.6580515	96190.6580515	right	left	0	900	E	F	0	473.353446863
97664.0114984	99164.0114984	99214.0114984	99264.0114984	right	left	0	100	F	F	1	580.517174909
100844.528673	102344.528673	102394.528673	102444.528673	right	left	0	100	E	E	1	676.026745773
104120.555419	105620.555419	105670.555419	106520.555419	right	left	0	900	F	F	1	557.686045415
108078.241464	109578.241464	109628.241464	109678.241464	right	left	0	100	F	F	1	537.097501118
111215.338966	112715.338966	112765.338966	113615.338966	right	left	0	900	E	E	1	601.075410612
115216.414376	116716.414376	116766.414376	116816.414376	right	right	1	100	F	F	1	517.880758965
118334.295135	119834.295135	119884.295135	119934.295135	left	left	1	100	E	E	1	502.199024324
121436.494159	122936.494159	122986.494159	123036.494159	left	right	0	100	E	E	1	597.229432117
124633.723592	126133.723592	126183.723592	126233.723592	left	left	1	100	E	E	1	505.920407369
127739.643999	129239.643999	129289.643999	130139.643999	right	left	0	900	F	F	1	531.882854546
131671.526854	133171.526854	133221.526854	133271.526854	left	left	1	100	E	E	1	655.43801989
134926.964873	136426.964873	136476.964873	137326.964873	right	left	0	900	E	E	1	568.058441254
138895.023315	140395.023315	140445.023315	141295.023315	right	right	1	900	F	F	1	618.449707725
142913.473022	144413.473022	144463.473022	145313.473022	left	right	0	900	E	E	1	364.253284866
146677.726307	148177.726307	148227.726307	148277.726307	right	right	1	100	E	E	1	433.056478231
149710.782785	151210.782785	151260.782785	151310.782785	left	right	0	100	F	F	1	550.728343227
152861.511129	154361.511129	154411.511129	154461.511129	left	left	1	100	F	F	1	447.919990512
155909.431119	157409.431119	157459.431119	158309.431119	left	left	1	900	E	E	1	518.222513133
159827.653632	161327.653632	161377.653632	162227.653632	left	right	0	900	E	E	1	501.892010529
163729.545643	165229.545643	165279.545643	166129.545643	left	right	0	900	E	E	1	604.154614979
167733.700258	169233.700258	169283.700258	170133.700258	left	right	0	900	F	F	1	597.239719463
171730.939977	173230.939977	173280.939977	174130.939977	left	left	1	900	E	F	0	569.144890116
175700.084867	177200.084867	177250.084867	178100.084867	right	right	1	900	E	E	1	492.689750103
179592.774618	181092.774618	181142.774618	181992.774618	right	left	0	900	E	E	1	394.641090214
183387.415708	184887.415708	184937.415708	185787.415708	left	left	1	900	E	E	1	458.889665182
187246.305373	188746.305373	188796.305373	189646.305373	right	right	1	900	E	E	1	425.545016906
191071.85039	192571.85039	192621.85039	192671.85039	right	left	0	100	E	E	1	522.277321621
194194.127711	195694.127711	195744.127711	195794.127711	left	right	0	100	F	E	0	431.690989861
197225.818701	198725.818701	198775.818701	199625.818701	right	left	0	900	E	E	1	465.412463018
201091.231164	202591.231164	202641.231164	203491.231164	left	left	1	900	F	F	1	550.780308656
205042.011473	206542.011473	206592.011473	206642.011473	right	left	0	100	E	E	1	610.791283561
208252.802757	209752.802757	209802.802757	209852.802757	left	left	1	100	F	F	1	612.063668732
211464.866425	212964.866425	213014.866425	213064.866425	right	right	1	100	F	F	1	560.407272928
214625.273698	216125.273698	216175.273698	216225.273698	right	left	0	100	E	F	0	593.358646711
217818.632345	219318.632345	219368.632345	219418.632345	left	left	1	100	E	E	1	499.414741552
220918.047086	222418.047086	222468.047086	223318.047086	left	right	0	900	F	F	1	484.148049177
224802.195136	226302.195136	226352.195136	227202.195136	right	left	0	900	E	E	1	450.783899848
228652.979036	230152.979036	230202.979036	231052.979036	left	right	0	900	F	F	1	394.467694537
232447.44673	233947.44673	233997.44673	234047.44673	right	right	1	100	E	E	1	360.873951924
235408.320682	236908.320682	236958.320682	237008.320682	left	right	0	100	F	F	1	591.625329542
238599.946012	240099.946012	240149.946012	240999.946012	right	right	1	900	E	E	1	651.063631627
242651.009643	244151.009643	244201.009643	245051.009643	left	left	1	900	E	F	0	707.759713483
246758.769357	248258.769357	248308.769357	249158.769357	left	left	1	900	E	E	1	560.66715653
250719.436513	252219.436513	252269.436513	253119.436513	right	left	0	900	F	F	1	487.232017029
254606.66853	256106.66853	256156.66853	257006.66853	left	left	1	900	F	E	0	638.612102214
258645.280632	260145.280632	260195.280632	261045.280632	left	left	1	900	F	F	1	588.186713819
262633.467346	264133.467346	264183.467346	264233.467346	right	left	0	100	F	F	1	586.608704263
265820.07605	267320.07605	267370.07605	268220.07605	left	right	0	900	F	F	1	618.191276713
269838.267327	271338.267327	271388.267327	272238.267327	right	left	0	900	E	E	1	535.789413492
273774.056741	275274.056741	275324.056741	275374.056741	left	right	0	100	F	F	1	531.17129529
276905.228036	278405.228036	278455.228036	278505.228036	left	right	0	100	E	E	1	544.235435667
280049.463472	281549.463472	281599.463472	281649.463472	right	right	1	100	E	E	1	591.553046561
283241.016518	284741.016518	284791.016518	285641.016518	right	right	1	900	F	E	0	684.128071423
287325.14459	288825.14459	288875.14459	288925.14459	left	right	0	100	E	E	1	546.58477442
290471.729364	291971.729364	292021.729364	292871.729364	right	right	1	900	F	F	1	528.221165728
294399.95053	295899.95053	295949.95053	296799.95053	left	right	0	900	E	E	1	518.504966743
298318.455497	299818.455497	299868.455497	299918.455497	right	left	0	100	E	E	1	580.785489606
301499.240986	302999.240986	303049.240986	303099.240986	left	left	1	100	E	E	1	559.507920857
304658.748907	306158.748907	306208.748907	307058.748907	right	right	1	900	E	E	1	651.499593325
308710.2485	310210.2485	310260.2485	311110.2485	left	right	0	900	E	E	1	439.200207666
312549.448708	314049.448708	314099.448708	314149.448708	right	right	1	100	F	E	0	434.488336596
315583.937045	317083.937045	317133.937045	317183.937045	left	right	0	100	E	E	1	545.000539375
318728.937584	320228.937584	320278.937584	321128.937584	right	right	1	900	E	E	1	529.088083484
322658.025667	324158.025667	324208.025667	324258.025667	right	right	1	100	E	E	1	357.514423867
325615.540091	327115.540091	327165.540091	328015.540091	right	left	0	900	F	F	1	547.073589192
329562.61368	331062.61368	331112.61368	331962.61368	left	left	1	900	F	F	1	620.004156318
333582.617837	335082.617837	335132.617837	335982.617837	right	right	1	900	E	F	0	497.498956757
337480.116794	338980.116794	339030.116794	339880.116794	left	right	0	900	E	E	1	557.81541559
341437.932209	342937.932209	342987.932209	343837.932209	left	left	1	900	F	F	1	499.828329072
345337.760538	346837.760538	346887.760538	347737.760538	right	right	1	900	E	F	0	588.831240028
349326.591778	350826.591778	350876.591778	351726.591778	left	left	1	900	F	F	1	491.626844425
