fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
4878.61154541	6378.61154541	6428.61154541	7278.61154541	right	left	0	900	E	E	1	472.933511796
8751.5450572	10251.5450572	10301.5450572	10351.5450572	right	left	0	100	F	E	0	585.415856945
11936.9609141	13436.9609141	13486.9609141	14336.9609141	right	left	0	900	E	E	1	462.756671229
15799.7175854	17299.7175854	17349.7175854	17399.7175854	right	left	0	100	F	F	1	564.10688617
18963.8244715	20463.8244715	20513.8244715	21363.8244715	right	right	1	900	F	F	1	594.095537729
22957.9200093	24457.9200093	24507.9200093	25357.9200093	right	left	0	900	E	F	0	496.840935139
26854.7609444	28354.7609444	28404.7609444	29254.7609444	left	left	1	900	E	F	0	636.710572302
30891.4715167	32391.4715167	32441.4715167	32491.4715167	right	left	0	100	E	E	1	446.600943422
33938.0724601	35438.0724601	35488.0724601	36338.0724601	right	right	1	900	E	E	1	554.330693445
37892.4031536	39392.4031536	39442.4031536	40292.4031536	right	right	1	900	F	E	0	463.414315002
41755.8174686	43255.8174686	43305.8174686	43355.8174686	left	right	0	100	E	E	1	633.001442553
44988.8189111	46488.8189111	46538.8189111	47388.8189111	left	right	0	900	E	E	1	543.151006548
48931.9699177	50431.9699177	50481.9699177	50531.9699177	left	right	0	100	E	E	1	611.131371109
52143.1012888	53643.1012888	53693.1012888	54543.1012888	left	left	1	900	E	E	1	533.513101904
56076.6143907	57576.6143907	57626.6143907	58476.6143907	left	right	0	900	F	F	1	458.15967488
59934.7740656	61434.7740656	61484.7740656	62334.7740656	left	left	1	900	E	F	0	529.009073903
63863.7831395	65363.7831395	65413.7831395	66263.7831395	left	left	1	900	F	F	1	571.044181425
67834.8273209	69334.8273209	69384.8273209	69434.8273209	right	left	0	100	E	E	1	618.165322547
71052.9926435	72552.9926435	72602.9926435	72652.9926435	left	right	0	100	E	F	0	584.850522811
74237.8431663	75737.8431663	75787.8431663	75837.8431663	right	right	1	100	E	E	1	487.752018466
77325.5951847	78825.5951847	78875.5951847	78925.5951847	left	left	1	100	F	F	1	448.713083375
80374.3082681	81874.3082681	81924.3082681	81974.3082681	right	right	1	100	F	F	1	513.3627213
83487.6709894	84987.6709894	85037.6709894	85087.6709894	right	right	1	100	E	E	1	495.468580834
86583.1395702	88083.1395702	88133.1395702	88983.1395702	left	right	0	900	E	E	1	414.772561579
90397.9121318	91897.9121318	91947.9121318	91997.9121318	right	right	1	100	E	E	1	616.289051613
93614.2011834	95114.2011834	95164.2011834	95214.2011834	right	left	0	100	E	E	1	534.206491882
96748.4076753	98248.4076753	98298.4076753	99148.4076753	left	left	1	900	F	F	1	595.797749078
100744.205424	102244.205424	102294.205424	102344.205424	right	right	1	100	F	F	1	440.01994697
103784.225371	105284.225371	105334.225371	105384.225371	right	right	1	100	E	F	0	597.385862178
106981.611234	108481.611234	108531.611234	109381.611234	left	left	1	900	E	E	1	535.264347102
110916.875581	112416.875581	112466.875581	113316.875581	right	left	0	900	F	E	0	525.746252816
114842.621833	116342.621833	116392.621833	116442.621833	right	left	0	100	F	F	1	594.595015791
118037.216849	119537.216849	119587.216849	119637.216849	left	right	0	100	F	F	1	567.360972402
121204.577822	122704.577822	122754.577822	123604.577822	left	left	1	900	F	F	1	610.246152027
125214.823974	126714.823974	126764.823974	126814.823974	left	left	1	100	E	E	1	508.204380437
128323.028354	129823.028354	129873.028354	129923.028354	left	right	0	100	F	E	0	602.537505005
131525.565859	133025.565859	133075.565859	133125.565859	right	left	0	100	E	F	0	537.345652532
134662.911512	136162.911512	136212.911512	137062.911512	left	left	1	900	E	E	1	545.750720128
138608.662232	140108.662232	140158.662232	141008.662232	right	right	1	900	F	E	0	595.699605926
142604.361838	144104.361838	144154.361838	145004.361838	right	left	0	900	E	E	1	440.092415959
146444.454254	147944.454254	147994.454254	148044.454254	left	right	0	100	E	E	1	549.490056058
149593.94431	151093.94431	151143.94431	151993.94431	right	left	0	900	F	F	1	440.738900315
153434.68321	154934.68321	154984.68321	155034.68321	left	left	1	100	F	F	1	545.712214601
156580.395425	158080.395425	158130.395425	158980.395425	left	left	1	900	F	F	1	590.977839465
160571.373264	162071.373264	162121.373264	162971.373264	right	left	0	900	F	F	1	397.893663622
164369.266928	165869.266928	165919.266928	165969.266928	left	right	0	100	E	E	1	552.898707939
167522.165636	169022.165636	169072.165636	169922.165636	right	left	0	900	E	E	1	445.103373293
171367.269009	172867.269009	172917.269009	172967.269009	left	left	1	100	F	F	1	530.658035496
174497.927044	175997.927044	176047.927044	176097.927044	right	right	1	100	F	F	1	495.956298954
177593.883343	179093.883343	179143.883343	179993.883343	right	left	0	900	F	F	1	530.255908097
181524.139252	183024.139252	183074.139252	183924.139252	right	right	1	900	F	F	1	443.088550349
185367.227802	186867.227802	186917.227802	186967.227802	left	right	0	100	E	E	1	598.82999117
188566.057793	190066.057793	190116.057793	190166.057793	right	right	1	100	E	E	1	453.477165714
191619.534959	193119.534959	193169.534959	193219.534959	right	left	0	100	E	E	1	545.000637256
194764.535596	196264.535596	196314.535596	196364.535596	left	right	0	100	F	F	1	633.598890853
197998.134487	199498.134487	199548.134487	199598.134487	right	left	0	100	E	E	1	621.557537431
201219.692024	202719.692024	202769.692024	203619.692024	left	right	0	900	F	F	1	433.806849077
205053.498873	206553.498873	206603.498873	207453.498873	right	right	1	900	F	F	1	489.118996092
208942.617869	210442.617869	210492.617869	211342.617869	right	left	0	900	F	F	1	448.457969074
212791.075839	214291.075839	214341.075839	215191.075839	left	left	1	900	F	E	0	488.92608808
216680.001927	218180.001927	218230.001927	219080.001927	left	right	0	900	F	F	1	498.301054156
220578.302981	222078.302981	222128.302981	222978.302981	left	right	0	900	F	F	1	480.532359978
224458.835341	225958.835341	226008.835341	226858.835341	left	left	1	900	E	E	1	609.441343149
228468.276684	229968.276684	230018.276684	230868.276684	left	left	1	900	E	E	1	494.417594812
232362.694279	233862.694279	233912.694279	234762.694279	left	left	1	900	F	F	1	466.103013315
236228.797292	237728.797292	237778.797292	237828.797292	left	right	0	100	E	E	1	574.448031489
239403.245324	240903.245324	240953.245324	241803.245324	left	left	1	900	E	E	1	594.167257688
243397.412581	244897.412581	244947.412581	245797.412581	right	right	1	900	E	E	1	570.485524164
247367.898105	248867.898105	248917.898105	248967.898105	right	right	1	100	F	F	1	570.222306593
250538.120412	252038.120412	252088.120412	252938.120412	left	right	0	900	E	E	1	627.225149983
254565.345562	256065.345562	256115.345562	256965.345562	left	right	0	900	E	E	1	530.74181824
258496.08738	259996.08738	260046.08738	260896.08738	right	left	0	900	F	F	1	466.38670626
262362.474086	263862.474086	263912.474086	263962.474086	right	right	1	100	E	E	1	536.995917528
265499.470004	266999.470004	267049.470004	267899.470004	left	right	0	900	F	F	1	518.763611775
269418.233616	270918.233616	270968.233616	271018.233616	left	right	0	100	F	F	1	570.131795774
272588.365412	274088.365412	274138.365412	274988.365412	right	right	1	900	E	E	1	454.704634241
276443.070046	277943.070046	277993.070046	278843.070046	right	right	1	900	E	F	0	521.132806697
280364.202852	281864.202852	281914.202852	282764.202852	right	left	0	900	F	F	1	567.615479763
284331.818332	285831.818332	285881.818332	285931.818332	right	right	1	100	F	F	1	525.204636012
287457.022968	288957.022968	289007.022968	289057.022968	right	right	1	100	F	F	1	493.889642306
290550.912611	292050.912611	292100.912611	292150.912611	right	right	1	100	F	F	1	493.388155601
293644.300766	295144.300766	295194.300766	295244.300766	right	left	0	100	E	F	0	473.726741544
296718.027508	298218.027508	298268.027508	298318.027508	left	right	0	100	F	F	1	538.917370104
299856.944878	301356.944878	301406.944878	302256.944878	left	right	0	900	E	E	1	451.409719762
303708.354598	305208.354598	305258.354598	305308.354598	left	right	0	100	E	E	1	487.994699647
306796.349297	308296.349297	308346.349297	308396.349297	left	right	0	100	F	F	1	513.342068273
309909.691365	311409.691365	311459.691365	311509.691365	right	left	0	100	F	F	1	518.706824184
313028.39819	314528.39819	314578.39819	314628.39819	left	right	0	100	E	E	1	547.846157395
316176.244347	317676.244347	317726.244347	318576.244347	right	left	0	900	E	E	1	545.239513447
320121.48386	321621.48386	321671.48386	322521.48386	right	left	0	900	F	F	1	419.151182325
323940.635043	325440.635043	325490.635043	325540.635043	left	left	1	100	F	E	0	427.637918524
326968.272961	328468.272961	328518.272961	328568.272961	right	right	1	100	F	F	1	491.897268467
330060.17023	331560.17023	331610.17023	332460.17023	right	right	1	900	E	F	0	532.755950754
333992.926181	335492.926181	335542.926181	336392.926181	right	right	1	900	E	E	1	562.375822195
337955.302003	339455.302003	339505.302003	340355.302003	right	left	0	900	F	E	0	358.61560944
341713.917612	343213.917612	343263.917612	344113.917612	left	right	0	900	E	E	1	539.78097777
345653.69859	347153.69859	347203.69859	348053.69859	left	right	0	900	E	F	0	487.614474969
349541.313065	351041.313065	351091.313065	351141.313065	right	left	0	100	E	F	0	528.765258842
352670.078324	354170.078324	354220.078324	355070.078324	right	left	0	900	E	E	1	589.839907612
356659.918231	358159.918231	358209.918231	358259.918231	right	right	1	100	F	F	1	536.973380181
359796.891612	361296.891612	361346.891612	361396.891612	right	left	0	100	F	F	1	504.449658249
362901.34127	364401.34127	364451.34127	365301.34127	left	left	1	900	E	E	1	471.155612417
366772.496882	368272.496882	368322.496882	368372.496882	left	right	0	100	E	E	1	530.608351838
369903.105234	371403.105234	371453.105234	371503.105234	right	left	0	100	E	E	1	563.767937933
373066.873172	374566.873172	374616.873172	374666.873172	left	left	1	100	E	E	1	574.533759001
376241.406931	377741.406931	377791.406931	377841.406931	right	right	1	100	E	E	1	579.35297231
379420.759903	380920.759903	380970.759903	381820.759903	left	left	1	900	E	E	1	636.229514616
383456.989418	384956.989418	385006.989418	385056.989418	left	right	0	100	F	F	1	588.030160286
386645.019578	388145.019578	388195.019578	389045.019578	right	right	1	900	F	F	1	627.826360692
390672.845939	392172.845939	392222.845939	392272.845939	right	left	0	100	E	E	1	479.725262205
393752.571201	395252.571201	395302.571201	396152.571201	left	right	0	900	F	F	1	517.516293832
397670.087495	399170.087495	399220.087495	399270.087495	right	left	0	100	F	F	1	566.559038403
400836.646533	402336.646533	402386.646533	403236.646533	right	right	1	900	F	F	1	567.525203748
404804.171737	406304.171737	406354.171737	407204.171737	left	right	0	900	F	F	1	494.356168957
408698.527906	410198.527906	410248.527906	411098.527906	left	right	0	900	E	E	1	469.649111239
