fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
5103.16134912	6603.16134912	6653.16134912	6703.16134912	right	left	0	100	F	F	1	625.004461769
8328.16581089	9828.16581089	9878.16581089	10728.1658109	left	left	1	900	F	F	1	454.88253222
12183.0483431	13683.0483431	13733.0483431	14583.0483431	right	left	0	900	F	F	1	568.917624454
16151.9659676	17651.9659676	17701.9659676	17751.9659676	left	left	1	100	F	E	0	515.884612131
19267.8505797	20767.8505797	20817.8505797	20867.8505797	right	right	1	100	F	F	1	572.903096913
22440.7536766	23940.7536766	23990.7536766	24040.7536766	right	left	0	100	F	F	1	617.354192137
25658.1078687	27158.1078687	27208.1078687	28058.1078687	left	left	1	900	F	F	1	623.873397295
29681.981266	31181.981266	31231.981266	31281.981266	right	left	0	100	F	E	0	659.093945072
32941.0752111	34441.0752111	34491.0752111	34541.0752111	left	right	0	100	E	F	0	717.626102541
36258.7013137	37758.7013137	37808.7013137	38658.7013137	left	right	0	900	F	F	1	607.71620247
40266.4175161	41766.4175161	41816.4175161	41866.4175161	left	right	0	100	F	F	1	615.533526805
43481.9510429	44981.9510429	45031.9510429	45881.9510429	right	left	0	900	F	F	1	527.035476814
47408.9865197	48908.9865197	48958.9865197	49808.9865197	left	right	0	900	F	F	1	744.562825047
51553.5493448	53053.5493448	53103.5493448	53153.5493448	left	right	0	100	F	E	0	725.895517544
54879.4448623	56379.4448623	56429.4448623	56479.4448623	left	left	1	100	F	F	1	569.521594318
58048.9664567	59548.9664567	59598.9664567	60448.9664567	left	right	0	900	E	E	1	511.845514141
61960.8119708	63460.8119708	63510.8119708	63560.8119708	left	left	1	100	F	F	1	539.111366047
65099.9233368	66599.9233368	66649.9233368	66699.9233368	right	right	1	100	E	E	1	510.636983554
68210.5603204	69710.5603204	69760.5603204	69810.5603204	right	left	0	100	F	F	1	648.378101414
71458.9384218	72958.9384218	73008.9384218	73858.9384218	right	left	0	900	F	F	1	574.690578546
75433.6290004	76933.6290004	76983.6290004	77833.6290004	right	right	1	900	E	E	1	578.089475798
