fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
4916.22288876	6416.22288876	6466.22288876	6516.22288876	right	right	1	100	E	E	1	483.320855209
7999.54374397	9499.54374397	9549.54374397	9599.54374397	right	left	0	100	E	E	1	383.249644026
10982.793388	12482.793388	12532.793388	12582.793388	left	right	0	100	E	E	1	485.330469099
14068.1238571	15568.1238571	15618.1238571	15668.1238571	left	right	0	100	F	E	0	504.273212565
17172.3970697	18672.3970697	18722.3970697	19572.3970697	right	right	1	900	E	E	1	367.557042722
20939.9541124	22439.9541124	22489.9541124	23339.9541124	left	right	0	900	F	F	1	523.792808302
24863.7469207	26363.7469207	26413.7469207	27263.7469207	right	left	0	900	E	E	1	333.819952543
28597.5668732	30097.5668732	30147.5668732	30997.5668732	right	right	1	900	E	E	1	458.64685669
32456.2137299	33956.2137299	34006.2137299	34056.2137299	right	right	1	100	F	F	1	458.639504038
35514.853234	37014.853234	37064.853234	37114.853234	left	left	1	100	E	E	1	507.356914606
38622.2101486	40122.2101486	40172.2101486	41022.2101486	left	right	0	900	E	E	1	407.980085465
42430.190234	43930.190234	43980.190234	44830.190234	right	right	1	900	E	E	1	508.269579066
46338.4598131	47838.4598131	47888.4598131	48738.4598131	right	left	0	900	E	E	1	459.692683173
50198.1524963	51698.1524963	51748.1524963	51798.1524963	left	left	1	100	F	F	1	509.932679656
53308.0851759	54808.0851759	54858.0851759	55708.0851759	left	right	0	900	E	E	1	455.505319176
57163.5904951	58663.5904951	58713.5904951	59563.5904951	left	right	0	900	E	E	1	444.329003482
61007.9194986	62507.9194986	62557.9194986	62607.9194986	left	right	0	100	E	E	1	512.579925502
64120.4994241	65620.4994241	65670.4994241	66520.4994241	left	left	1	900	F	F	1	462.185944033
67982.6853681	69482.6853681	69532.6853681	70382.6853681	left	left	1	900	F	F	1	306.089254697
71688.7746228	73188.7746228	73238.7746228	73288.7746228	right	right	1	100	F	F	1	421.415709896
74710.1903327	76210.1903327	76260.1903327	77110.1903327	right	right	1	900	E	E	1	460.241814557
78570.4321473	80070.4321473	80120.4321473	80970.4321473	left	left	1	900	F	F	1	596.421480994
82566.8536283	84066.8536283	84116.8536283	84166.8536283	left	left	1	100	F	F	1	396.619208113
85563.4728364	87063.4728364	87113.4728364	87163.4728364	left	right	0	100	F	F	1	541.104032794
88704.5768692	90204.5768692	90254.5768692	90304.5768692	left	right	0	100	F	F	1	515.321837177
91819.8987063	93319.8987063	93369.8987063	94219.8987063	left	right	0	900	E	E	1	310.062832786
95529.9615391	97029.9615391	97079.9615391	97129.9615391	left	left	1	100	E	E	1	416.266305817
98546.2278449	100046.227845	100096.227845	100146.227845	left	left	1	100	F	F	1	465.920990748
101612.148836	103112.148836	103162.148836	103212.148836	right	right	1	100	E	E	1	428.614489903
104640.763326	106140.763326	106190.763326	106240.763326	right	right	1	100	F	F	1	455.669737689
107696.433063	109196.433063	109246.433063	110096.433063	left	right	0	900	E	E	1	597.295220435
111693.728284	113193.728284	113243.728284	113293.728284	right	left	0	100	F	E	0	492.541721801
114786.270006	116286.270006	116336.270006	117186.270006	right	right	1	900	E	E	1	532.692172931
118718.962178	120218.962178	120268.962178	120318.962178	left	left	1	100	F	F	1	380.626591018
121699.588769	123199.588769	123249.588769	124099.588769	left	right	0	900	F	F	1	390.418669519
125490.007439	126990.007439	127040.007439	127890.007439	right	right	1	900	E	E	1	423.062114074
129313.069553	130813.069553	130863.069553	131713.069553	left	left	1	900	F	F	1	620.207878794
