fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
4215.28031255	5715.28031255	5765.28031255	5815.28031255	right	right	1	100	F	F	1	532.513234095
7347.79354665	8847.79354665	8897.79354665	8947.79354665	right	right	1	100	F	F	1	418.162248488
10365.9557951	11865.9557951	11915.9557951	11965.9557951	left	right	0	100	F	F	1	594.296928854
13560.252724	15060.252724	15110.252724	15960.252724	right	left	0	900	E	E	1	580.065088255
17540.3178122	19040.3178122	19090.3178122	19940.3178122	left	right	0	900	F	F	1	463.131863083
21403.4496753	22903.4496753	22953.4496753	23803.4496753	right	left	0	900	F	F	1	548.602256722
25352.051932	26852.051932	26902.051932	26952.051932	right	right	1	100	E	E	1	440.618178871
28392.6701109	29892.6701109	29942.6701109	29992.6701109	right	right	1	100	F	F	1	458.410122194
31451.0802331	32951.0802331	33001.0802331	33851.0802331	right	right	1	900	F	F	1	655.164247419
35506.2444805	37006.2444805	37056.2444805	37906.2444805	left	left	1	900	E	F	0	565.022760166
39471.2672407	40971.2672407	41021.2672407	41871.2672407	left	left	1	900	F	F	1	489.574362162
43360.8416029	44860.8416029	44910.8416029	44960.8416029	left	right	0	100	E	E	1	519.034019633
46479.8756225	47979.8756225	48029.8756225	48079.8756225	left	left	1	100	F	F	1	463.225930691
49543.1015532	51043.1015532	51093.1015532	51943.1015532	left	right	0	900	F	F	1	499.416368807
53442.517922	54942.517922	54992.517922	55042.517922	left	right	0	100	F	F	1	568.23903806
56610.7569601	58110.7569601	58160.7569601	59010.7569601	left	right	0	900	F	F	1	472.774837581
60483.5317976	61983.5317976	62033.5317976	62083.5317976	left	left	1	100	E	E	1	357.840551845
63441.3723495	64941.3723495	64991.3723495	65841.3723495	right	left	0	900	F	F	1	593.464677939
67434.8370274	68934.8370274	68984.8370274	69834.8370274	left	right	0	900	E	E	1	429.629633425
71264.4666608	72764.4666608	72814.4666608	72864.4666608	right	right	1	100	F	F	1	535.178763008
74399.6454239	75899.6454239	75949.6454239	76799.6454239	right	right	1	900	F	F	1	388.77934216
78188.424766	79688.424766	79738.424766	80588.424766	left	left	1	900	F	F	1	619.709928269
82208.1346943	83708.1346943	83758.1346943	83808.1346943	right	left	0	100	E	E	1	500.339727114
